"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"HCL Infosystem","23.50","06/03/2019","6.00","11/10/2019"
"HCL Technologies","618.00","20/01/2020","493.38","31/01/2019"
"HDFC","2,499.90","14/01/2020","1,820.00","27/02/2019"
"HDFC AMC","3,844.00","22/11/2019","1,305.10","15/02/2019"
"HDFC Bank","1,305.50","19/12/2019","1,011.00","31/01/2019"
"HDFC Life Insurance","646.40","31/10/2019","345.75","20/02/2019"
"HDIL","28.85","01/02/2019","1.65","04/11/2019"
"Healthcare Global En","230.90","29/03/2019","90.10","11/12/2019"
"HEC Infra Projects","144.60","01/01/2019","118.25","14/11/2019"
"HEG Ltd.","2,632.35","01/02/2019","831.25","15/10/2019"
"Heidelberg Cement In","215.00","29/05/2019","140.30","11/02/2019"
"Helios and Matheson","67.50","15/04/2015","9.00","20/11/2015"
"Hercules Hoists","139.00","13/03/2019","71.20","23/08/2019"
"Heritage Foods","569.00","03/04/2019","288.00","31/10/2019"
"Hero MotoCorp","3,022.90","23/09/2019","2,225.60","31/07/2019"
"Hester Biosciences L","2,048.00","24/09/2019","1,186.05","31/01/2019"
"Hexa Tradex Ltd.","24.00","31/01/2019","4.60","27/09/2019"
"Hexaware Technologie","455.70","21/06/2019","312.70","31/01/2019"
"HFCL","25.30","13/03/2019","16.80","10/10/2019"
"HG Infra Engineering","307.85","31/05/2019","172.70","19/02/2019"
"High Ground Enterpri","8.90","29/01/2019","0.35","25/10/2019"
"Hikal Ltd.","187.70","16/04/2019","100.30","11/12/2019"
"HIL","2,052.00","07/03/2019","1,070.05","25/10/2019"
"Hilton Metal Forging","24.85","08/03/2019","6.20","18/10/2019"
"Himadri Speciality","126.70","06/03/2019","54.05","12/12/2019"
"Himatsingka Seid","241.00","18/04/2019","118.70","16/12/2019"
"Hind Rectifiers","269.00","15/01/2020","99.80","06/02/2019"
"Hind Syntex","5.10","06/03/2019","1.50","22/01/2020"
"Hind. Composites","253.80","20/01/2020","157.00","11/12/2019"
"Hind. Copper","52.75","06/03/2019","27.85","23/08/2019"
"Hind. Dorr Olive","10.50","21/12/2017","1.25","17/07/2018"
"Hind. Food","714.50","05/12/2019","383.00","22/08/2019"
"Hind. Motor","8.25","02/04/2019","4.85","23/08/2019"
"Hind. NationalGl","101.00","13/02/2019","17.10","12/07/2019"
"Hind. Oil Explor","136.40","09/04/2019","82.15","19/12/2019"
"Hind. Organi","35.20","25/04/2017","15.10","16/08/2016"
"Hind. Petrol","333.50","03/06/2019","211.20","18/02/2019"
"Hind. Zinc","291.65","08/04/2019","193.05","23/08/2019"
"Hind.ConstructionCo.","16.60","27/03/2019","6.90","23/08/2019"
"Hindalco Indus.","221.20","02/01/2020","171.10","26/08/2019"
"Hindcon Chemicals","25.50","10/06/2019","11.80","28/01/2020"
"Hindprakash Industri","42.70","27/01/2020","40.70","27/01/2020"
"Hinduja Foundries Lt","61.30","22/06/2016","28.05","22/11/2016"
"Hinduja Global Solut","683.90","30/01/2020","535.00","22/08/2019"
"Hindustan Aeronautic","895.90","22/01/2020","610.05","18/02/2019"
"Hindustan Media Vent","127.60","01/04/2019","65.55","16/10/2019"
"Hindustan Unilever L","2,190.00","07/11/2019","1,650.00","05/04/2019"
"Hisar Metal Indu","77.90","01/01/2020","30.90","20/02/2019"
"Hitech Corporation","119.75","06/02/2019","64.75","08/08/2019"
"Hi-Tech Pipes Ltd.","329.00","31/05/2019","128.05","11/12/2019"
"HLV L","14.30","12/02/2019","5.40","31/12/2019"
"HMT Ltd.","23.65","14/03/2019","9.90","16/10/2019"
"Honda Siel Power","1,358.90","08/11/2019","812.95","30/07/2019"
"Honeywell Automation","29,495.00","23/09/2019","20,611.25","04/02/2019"
"Hotel Rugby Limi","1.90","22/01/2019","0.95","17/06/2019"
"HOV Services Ltd.","171.90","15/04/2019","40.15","05/12/2019"
"HPL Electric & Power","69.00","29/05/2019","34.85","11/12/2019"
"HSIL Ltd.","303.25","28/05/2019","38.70","24/10/2019"
"HT Media","49.75","22/03/2019","13.80","24/12/2019"
"Hubtown","39.90","13/02/2019","11.25","16/10/2019"
"HUDCO","47.80","06/03/2019","29.80","23/08/2019"
"Huhtamaki PPL","284.80","13/06/2019","155.00","14/02/2019"
"Husys Consulting","38.00","05/09/2019","24.25","09/01/2020"
"I G Petrochemicals","348.75","13/03/2019","125.00","12/12/2019"
"I P Rings Ltd.","149.40","27/01/2015","32.65","29/01/2014"
"ICE Make Refrigerati","89.75","18/04/2019","52.00","17/12/2019"
"ICICI Bank","552.20","30/12/2019","336.15","14/02/2019"
"ICICI Lombard Gen.","1,440.40","26/12/2019","842.00","31/01/2019"
"ICICI Pru Life","537.30","13/11/2019","277.35","04/02/2019"
"ICICI Securities","498.75","27/01/2020","188.00","12/02/2019"
"ICRA Ltd.","3,414.75","29/03/2019","2,500.00","13/11/2019"
"ICSA-India Ltd.","1.70","19/08/2019","0.15","05/07/2019"
"IDBI Bank Ltd.","55.95","31/01/2019","23.65","23/08/2019"
"IDFC First Bank","56.85","01/04/2019","36.00","25/07/2019"
"IDFC L","48.10","29/03/2019","30.75","11/10/2019"
"IFB Agro Indus","556.95","01/02/2019","264.00","23/08/2019"
"IFB Industries","999.90","15/03/2019","559.95","06/08/2019"
"IFCI Ltd.","14.60","05/03/2019","6.10","17/10/2019"
"IFGL Refracto","342.50","07/09/2017","116.00","30/09/2016"
"IFGL Refractories","249.95","25/03/2019","120.05","23/08/2019"
"Igarashi Motors Indi","533.85","31/01/2019","171.60","20/06/2019"
"IIFL Finance","475.00","02/04/2019","98.80","05/08/2019"
"IIFL Securities","59.90","10/01/2020","19.05","14/10/2019"
"IIFL Wealth Manage","1,544.20","25/09/2019","924.00","26/12/2019"
"IL&FS Engineering","11.70","20/02/2019","1.80","30/01/2020"
"IL&FS Investment Man","6.40","13/03/2019","2.85","14/08/2019"
"IL&FS Transportation","7.75","01/02/2019","1.50","09/09/2019"
"IMP Powers","54.30","25/02/2019","13.35","18/10/2019"
"Impex Ferro Tech Ltd","0.55","03/06/2019","0.20","30/09/2019"
"Ind. Inv Trust","85.50","18/04/2019","48.30","06/08/2019"
"Indbank Merchant","11.00","20/03/2019","6.20","15/11/2019"
"India Cements Lt","116.95","28/05/2019","67.75","23/08/2019"
"India Glycols","320.85","17/01/2020","178.30","23/08/2019"
"India Grid Trust","97.60","16/01/2020","80.99","28/03/2019"
"India Motor Part","752.71","22/10/2019","517.76","01/08/2019"
"India Nippon Ele","480.00","11/04/2019","290.60","12/12/2019"
"India Power Corp","16.15","21/08/2019","7.50","31/01/2020"
"India Tourism De","416.60","20/11/2019","151.55","23/08/2019"
"Indiabulls Housing F","919.40","05/04/2019","165.80","17/10/2019"
"Indiabulls Integrate","376.30","11/04/2019","52.55","29/10/2019"
"Indiabulls Real Esta","144.70","07/06/2019","38.10","07/10/2019"
"Indiabulls Ventures","373.95","01/02/2019","78.15","17/10/2019"
"IndiaMART InterMESH","2,478.00","22/01/2020","1,102.95","08/08/2019"
"Indian Bank","292.70","04/06/2019","97.25","08/01/2020"
"Indian Card Clot","159.70","12/03/2019","81.00","13/08/2019"
"Indian Energy Exchan","200.00","17/01/2020","112.05","13/09/2019"
"Indian Hotels Co","164.30","26/06/2019","121.30","23/08/2019"
"Indian Hume Pipe","334.00","05/07/2019","193.70","12/12/2019"
"Indian Metal & F","277.75","05/03/2019","141.00","23/08/2019"
"Indian Oil Corp","170.75","03/06/2019","111.95","22/01/2020"
"Indian Overseas","15.75","11/03/2019","8.75","22/08/2019"
"Indian Terrain Fashi","145.95","02/04/2019","56.70","19/12/2019"
"IndInfravit Trust","105.00","24/05/2018","100.22","14/05/2018"
"Indo Count Inds.","69.30","15/03/2019","30.35","19/02/2019"
"Indo National","738.40","12/03/2019","380.00","01/08/2019"
"Indo Rama Synth.","37.00","04/04/2019","23.50","27/01/2020"
"Indo Tech Transforme","145.00","15/11/2019","73.70","23/08/2019"
"Indo Thai Securities","41.35","26/03/2019","18.60","30/08/2019"
"Indoco Remedies","245.00","20/01/2020","132.45","11/10/2019"
"Indosolar Ltd.","2.80","18/03/2019","0.25","17/10/2019"
"Indostar Capital Fin","442.70","01/04/2019","166.00","10/12/2019"
"Indowind Energy Ltd.","7.00","13/03/2019","2.35","27/10/2019"
"Indraprastha Gas Ltd","521.35","30/01/2020","257.60","12/02/2019"
"Indraprastha Med","52.50","09/01/2020","35.10","25/07/2019"
"Ind-Swift L","7.25","11/03/2019","2.85","03/12/2019"
"Ind-Swift Laboratori","52.70","12/02/2019","21.95","27/12/2019"
"Indus Fila Ltd.","4.30","02/01/2015","2.15","15/04/2015"
"IndusInd Bank","1,834.40","28/03/2019","1,188.05","01/10/2019"
"INEOS Styrolution","804.00","29/01/2020","365.00","02/08/2019"
"Infibeam Avenues","61.25","28/01/2020","31.65","06/02/2019"
"Infinite Computer So","519.75","01/03/2018","242.00","13/12/2017"
"Info Edge (India)","2,935.00","31/01/2020","1,593.05","19/02/2019"
"InfoBeans Tech","91.50","31/01/2020","50.25","30/07/2019"
"Info-Drive Softw","1.05","01/01/2015","0.35","22/10/2014"
"Infomedia Press","4.80","05/03/2019","4.15","02/12/2019"
"Infosys","847.00","06/09/2019","615.10","23/10/2019"
"ING Vysya Bank","1,055.25","15/04/2015","537.85","30/04/2014"
"Ingersoll Rand","729.85","20/11/2019","505.00","19/02/2019"
"Innovana Thinklabs","166.40","16/04/2019","86.00","18/06/2019"
"Innovative Tyres & T","26.00","06/03/2019","10.85","31/01/2020"
"Innoventive Industri","13.30","15/07/2015","4.00","26/11/2015"
"Inox Leisure","420.00","27/01/2020","249.10","23/08/2019"
"Inox Wind Ltd.","80.65","07/03/2019","28.65","08/11/2019"
"Insecticides (India)","739.95","28/05/2019","388.90","11/12/2019"
"Inspirisys Solutions","58.40","03/04/2019","32.25","02/01/2020"
"Integra Garments","1.80","31/01/2019","0.15","26/08/2019"
"Intellect Design","291.80","15/07/2019","137.20","27/12/2019"
"Intense Technologies","45.50","27/02/2019","22.05","30/08/2019"
"InterGlobe Aviation","1,898.85","30/09/2019","1,078.30","27/02/2019"
"International Const","18.15","05/02/2019","5.20","01/11/2019"
