"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"Art Nirman","32.35","16/09/2019","13.60","30/01/2019"
"Artedz Fabs","43.50","01/04/2019","18.25","11/12/2019"
"Artemis Global Life","81.50","12/11/2018","43.00","06/08/2019"
"Artemis Medicare","288.00","31/01/2020","215.00","24/01/2020"
"Arvee Laboratories","63.00","26/03/2019","50.50","30/11/2018"
"Arvind Fashions","1,089.70","26/03/2019","302.60","05/12/2019"
"Arvind Ltd.","96.60","15/03/2019","34.55","12/12/2019"
"Arvind Remedies","21.50","08/07/2015","3.80","04/04/2016"
"Arvind SmartSpaces","138.80","31/01/2019","70.40","09/10/2019"
"Asahi India Glass","283.85","06/03/2019","170.00","01/10/2019"
"Asahi Songwon Colors","193.00","05/02/2019","104.00","05/08/2019"
"Ascom Leasing & Inve","32.90","29/01/2020","28.65","10/12/2019"
"Ashapura Intimates F","19.25","28/01/2019","1.40","06/01/2020"
"Ashapura Min. Lt","38.35","10/10/2019","16.30","26/06/2019"
"Ashiana Housing Ltd.","133.80","04/06/2019","86.00","09/12/2019"
"Ashima Ltd.","14.95","01/02/2019","5.45","10/12/2019"
"Ashok Leyland","97.75","16/04/2019","56.95","23/08/2019"
"Ashoka Buildcon Ltd.","155.00","30/05/2019","87.80","05/09/2019"
"Asian Electronic","3.15","05/08/2014","2.40","09/12/2013"
"Asian Granito India","274.85","17/06/2019","147.00","14/02/2019"
"Asian Hotels (East)","256.90","14/03/2019","148.90","31/12/2019"
"Asian Hotels (North)","150.00","01/02/2019","80.35","05/08/2019"
"Asian Hotels (West)","401.55","02/12/2019","240.00","01/08/2019"
"Asian Paints Ltd.","1,862.25","20/01/2020","1,291.25","09/07/2019"
"ASL Industries","36.95","06/02/2019","8.75","09/01/2020"
"Aspinwall and Co","187.00","19/03/2019","112.60","26/09/2019"
"Assam Company","2.90","25/02/2019","0.40","22/10/2019"
"Astec Lifesciences L","562.80","02/04/2019","305.00","29/07/2019"
"Aster DM Healthcare","174.90","07/01/2020","109.50","07/08/2019"
"Astra Microwave","105.75","27/03/2019","70.40","23/08/2019"
"Astral Poly Technik","1,267.55","20/09/2019","845.64","22/02/2019"
"AstraZeneca Pharma I","2,931.85","17/12/2019","1,570.00","06/02/2019"
"Astron Paper & Board","123.50","14/06/2019","35.20","13/11/2019"
"Atlanta Ltd.","23.25","13/03/2019","5.55","16/12/2019"
"AtlasCycles(Haryana)","95.00","14/03/2019","33.00","21/06/2019"
"ATN Internatio","0.50","14/10/2019","0.05","28/01/2019"
"Atul Auto Ltd","372.90","01/04/2019","195.45","23/08/2019"
"Atul Ltd.","5,029.00","28/01/2020","3,200.00","15/03/2019"
"Au Small Finance Ban","1,105.00","27/01/2020","541.25","26/03/2019"
"Aurangabad Distiller","44.90","23/01/2019","23.20","01/08/2019"
"Aurionpro Solutions","158.75","02/05/2019","54.00","01/01/2020"
"Aurobindo Pharma","838.00","30/04/2019","389.35","14/11/2019"
"Ausom Enterprise","51.35","12/06/2019","25.25","16/10/2019"
"Autoline Industries","64.70","31/01/2019","20.35","23/10/2019"
"Autolite (I)","41.95","07/03/2019","17.20","17/10/2019"
"Automotive Axles","1,341.30","06/03/2019","725.10","23/08/2019"
"Automotive Stampings","62.85","25/04/2019","28.80","23/08/2019"
"Avadh Sugar & Energy","381.65","06/06/2019","171.28","04/02/2019"
"Avanti Feeds Lim","770.00","17/01/2020","270.00","23/08/2019"
"Avenue Supermarts","2,145.05","31/01/2020","1,226.00","08/05/2019"
"AVG Logistics","108.00","04/06/2019","60.00","09/01/2020"
"Avro India","58.80","07/01/2020","25.70","30/05/2019"
"AVSL Industries","39.00","14/11/2019","32.00","31/05/2019"
"AVT Natural Prod","39.00","28/01/2020","18.80","06/08/2019"
"Axis Bank Ltd.","827.75","04/06/2019","622.65","20/09/2019"
"AXISCADES Engineer","86.50","16/09/2019","43.75","09/05/2019"
"AYM Syntex","43.90","13/06/2019","26.80","29/08/2019"
"B C Power Controls L","23.00","28/01/2020","7.45","30/10/2019"
"B L Kashyap & Sons","24.10","01/03/2019","7.15","16/10/2019"
"B&B Triplewall Conta","54.00","18/03/2019","21.60","16/09/2019"
"Baba Agro Food","70.00","30/01/2019","51.40","26/04/2019"
"Bafna Pharmaceutical","21.85","12/09/2018","3.55","23/08/2019"
"BAG Films & Media","5.40","18/02/2019","1.35","11/10/2019"
"Bajaj Auto Ltd.","3,289.00","01/11/2019","2,442.20","31/07/2019"
"Bajaj Consumer Care","369.40","12/03/2019","195.10","15/10/2019"
"Bajaj Electricals","587.70","16/04/2019","306.70","20/11/2019"
"Bajaj Finance L","4,485.00","30/01/2020","2,506.00","15/02/2019"
"Bajaj Finserv Ltd.","9,950.00","30/01/2020","5,855.00","15/02/2019"
"Bajaj HindusthanSuga","10.20","08/04/2019","5.10","23/08/2019"
"Bajaj Holdings & Inv","3,903.95","08/11/2019","2,815.00","31/01/2019"
"Bal Pharma Ltd","80.60","06/02/2019","33.05","22/08/2019"
"Balaji Amines Li","537.60","02/04/2019","211.25","05/08/2019"
